lon,lat
-81.6792428,35.1019448
-80.390182,33.9506135
-82.3832855,34.1593424
-82.3753186,34.82310349999999
-81.2209999,35.1047181
-81.00064909999999,34.9326023
-81.2477665,34.9843442
-81.7238538,33.5640321
-81.7020122,33.5584846
-81.7618537,33.5712879
-81.7186217,33.5666515
-80.9761726,32.4884443
-80.689081,32.4170064
-81.30639409999999,33.0113385
-79.8984442,32.8026104
-80.0378101,32.812217
-80.1618328,32.96483
-80.39706149999999,34.7834012
-82.685901,34.53379580000001
-79.5643362,33.4401657
-80.0809438,32.7199912
-82.6286774,34.5451661
-82.64741649999999,34.5103616
-82.6286774,34.5451661
-82.6286774,34.5451661
-82.471808,34.6297079
-82.847162,34.6932779
-82.6456156,34.5076545
-82.6288636,34.545656
-80.698888,34.2164355
-80.96579679999999,35.0307778
-79.1925529,33.9994404
-81.5515674,33.9015537
-82.3225664,34.7741096
-82.3000704,34.7831634
-81.2429274,34.1510646
-81.0444883,33.2861661
-82.60680669999999,34.8406397
-82.60535709999999,34.8422304
-81.9236316,34.9533526
-80.8350643,34.9345135
-81.37852099999999,33.2584043
-81.3631001,33.254849
-81.3523978,33.2578523
-80.67721689999999,32.4347428
-80.6890634,32.4167381
-80.8705736,32.3622677
-80.0327556,33.1353199
-82.95633099999999,34.6968064
-80.85330909999999,32.2498584
-82.4216852,34.8154275
-82.32503349999999,34.8563366
-82.2570301,34.8226327
-80.0418784,32.8085371
-82.32301319999999,34.8526312
-81.07404269999999,33.9937253
-81.0551006,33.9833986
-82.1107251,34.8638273
-80.7825462,33.6748476
-80.77887489999999,33.6638539
-82.5855751,34.0923946
-79.25449019999999,34.2057166
-82.68004859999999,34.7827714
-80.2629329,34.2077441
-79.6859195,34.6154759
-79.8158405,32.8400384
-80.06108859999999,34.3571671
-79.86263199999999,34.5002319
-79.4265757,34.3317594
-79.5453297,34.6687714
-79.6974822,34.6321102
-79.9202035,34.6933915
-79.3649916,34.4240537
-79.0121061,33.781567
-80.06466379999999,34.3779999
-81.9351381,34.4782378
-80.3429602,33.9227721
-79.9202585,34.6934973
-81.8951644,34.9781549
-81.0325249,34.0088667
-82.4216852,34.8154275
-78.96176179999999,33.76134
-80.0366255,32.7456512
-82.13944099999999,34.207647
-81.517254,35.1170855
-81.634649,35.0847134
-81.0266551,34.0275226
-80.31076689999999,33.0992202
-81.0437988,34.9585135
-82.3231841,34.8551208
-81.16160529999999,34.0943314
-80.1042957,34.3499531
-80.3399993,33.9256469
-79.83633789999999,33.66315489999999
-80.9114203,34.9438469
-81.081459,33.9896871
-81.9401137,34.9666278
-82.40804899999999,34.8162408
-82.2447823,34.9184328
-82.9858031,34.6941982
-82.412024,34.8150038
-82.43073199999999,34.853290200000004
-81.9401133,34.9662963
-81.33702629999999,34.1534413
-79.9730127,32.7576647
-80.0217535,32.8504813
-79.9822111,32.8575438
-79.9523143,32.7825664
-80.01559069999999,32.8413038
-79.97790599999999,32.8482052
-80.03140909999999,32.8083929
-79.94626269999999,32.7887026
-79.9037902,34.6909577
-81.6397684,35.0885708
-81.65525699999999,35.071005
-81.6332515,35.092336
-81.862078,35.1380623
-81.2132106,34.7071888
-80.088944,34.7380754
-80.790933,34.715756
-82.24893399999999,34.720071
-82.24364469999999,34.9192739
-80.8509265,34.9535229
-82.4310366,34.9131329
-82.4350748,34.9646445
-82.32142859999999,34.8281865
-82.48196539999999,34.7878205
-82.24117199999999,34.918763
-82.25857839999999,34.7420439
-82.40455469999999,34.8314206
-82.25593549999999,34.8230928
-80.2077736,33.6942036
-80.2105191,33.6870255
-82.7858179,34.6859668
-82.8121699,34.6875949
-82.9840566,34.6972802
-80.1743848,33.02191240000001
-81.68886119999999,35.0761579
-79.0000218,33.7858217
-79.0059193,33.676368600000004
-79.0045387,33.7848804
-79.4006069,34.178216
-81.0532118,32.3144896
-80.0418704,32.8153898
-79.96872239999999,32.747284
-80.1758171,33.0188816
-79.8178768,32.8222168
-80.06746629999999,32.9761481
-79.0031171,33.7831869
-81.090014,32.8528384
-79.5670411,33.9840423
-80.65547099999999,32.8980419
-80.35489380000001,33.9345923
-80.349949,33.9304885
-80.36464219999999,33.9193306
-79.0015044,33.7853855
-79.059541,33.8390119
-79.8506467,32.8097799
-82.224681,34.9475187
-80.8681629,33.5007905
-79.1983372,33.9935277
-78.86540049999999,33.7522337
-78.9969979,33.6824725
-78.9617609,33.761339
-82.4130576,34.8149597
-79.86743969999999,34.3019304
-81.144516,33.313225
-79.3746701,34.416933
-79.36622349999999,34.4207346
-82.2696926,34.91509020000001
-81.0294571,33.3075799
-81.0290496,33.3086589
-80.8567516,33.5226393
-82.19275379999999,35.1427992
-82.3850942,34.3319256
-82.60535709999999,34.8422304
-79.7796963,32.8758972
-79.7512471,34.1620159
-79.9289095,34.2990206
-80.7061698,33.8820099
-82.3092716,34.8850431
-81.019176,34.0071556
-81.8909413,33.7945432
-81.93089739999999,33.7783721
-80.4794655,33.4889282
-79.7773771,33.8831362
-82.384423,34.8614709
-81.60799399999999,34.2905082
-81.7781866,34.0028714
-81.002408,34.0027523
-82.2594209,34.739814
-82.3274192,34.8566036
-81.1030401,34.3722908
-81.09780239999999,34.3729577
-82.3107096,34.7835146
-80.03139709999999,32.8084728
-80.417484,33.3264282
-80.83842779999999,33.5284902
-82.0349359,34.1734865
-82.226332,34.3788974
-81.6055105,34.289322
-81.93089739999999,33.7783721
-82.2243457,34.1901279
-81.7687868,34.0222125
-82.38264869999999,34.1606921
-82.23811669999999,34.950816
-81.91509959999999,34.9478186
-82.5774541,34.8126297
-80.94060309999999,35.0087858
-81.02202249999999,34.9212156
-80.2413986,32.7357511
-80.1918377,33.3631742
-80.671262,32.9240629
-81.019176,34.0071556
-79.7642864,34.1966979
-80.1701422,33.0272861
-82.6639553,34.4968574
-82.6015206,34.829838
-82.8098787,34.6871611
-82.0093887,34.9136322
-81.7634592,34.8883292
-79.4006069,34.178216
-79.65935449999999,34.1957305
-80.08222889999999,32.7182883
-80.164967,33.036931
-79.9602373,32.8392524
-79.9387635,32.7939379
-79.937598499999993,33.9354773
-80.67247689999999,32.9191477
-79.2996794,33.3845318
-79.12126549999999,33.4450475
-79.2845284,33.3797241
-83.06404169999999,34.7648176
-81.96515839999999,35.027263
-82.3272863,34.8517097
-81.92850539999999,34.9490641
-83.04293,34.759818
-80.0481575,33.003215
-78.6196807,33.8732476
-78.983013,33.6147159
-78.8649179,33.7530922
-78.81787829999999,33.7559751
-78.8226024,33.7576336
-82.260875,34.8180166
-82.3351639,34.841079
-82.3239364,34.7747288
-82.3870242,34.8875058
-82.3753186,34.82310349999999
-82.3298631,34.8576904
-82.0368922,34.1720512
-82.24423890000001,34.9200827
-80.06362969999999,34.1712
-81.08759500000001,32.8546644
-81.0819255,32.2975737
-81.09062380000002,32.8620084
-80.1603487,32.9642727
-80.0690059,34.370575
-80.0665776,34.3686439
-79.37072289999999,34.1848236
-79.0564687,33.8518472
-79.4484362,33.8181457
-78.9993904,33.7895608
-82.2481509,34.7199942
-82.251119,34.7203825
-80.41723920000001,33.3267248
-81.93475860000001,34.4779701
-79.75720489999999,33.8770077
-79.9386385,34.1337378
-79.7676841,34.2020653
-79.85775029999999,34.1765652
-79.8163646,33.6597633
-79.9886579,33.5809334
-79.7658154,33.8883331
-79.758785,34.1935225
-79.8014869,34.1710751
-79.4568796,33.7528442
-80.21338949999999,33.6883387
-80.86989249999999,33.9447583
-79.05244669999999,33.910236
-79.9350426,32.889459
-78.9969844,33.6827448
-80.8345432,34.9327763
-79.0414261,33.5510021
-79.968428,32.7475296
-80.9761726,32.4884443
-80.41724459999999,33.3267183
-80.85673810000002,33.5226175
-80.9851532,32.4956831
-80.9865272,32.4891679
-80.1600996,32.9613666
-80.608942,34.2476316
-80.75322729999999,34.147034
-82.4213415,34.8152942
-82.9840566,34.6972802
-79.76489959999999,33.8914843
-79.75343749999999,33.8739322
-81.28949449999999,34.2957258
-82.05065069999999,34.2876876
-81.25885199999999,34.0079936
-80.0659123,34.1717107
-80.727599,34.724851
-80.7890658,34.718399
-81.93719899999999,34.4840615
-81.9034929,34.4698911
-82.03730809999999,34.4931477
-82.1221358,34.6182248
-82.03099530000001,34.4931482
-80.2560496,34.2283858
-81.2348389,33.9530362
-81.2511349,33.9835471
-81.1291763,34.0083279
-80.07348230000001,32.9742194
-82.6965821,34.7864076
-80.2309693,32.9992785
-81.4156161,34.196464400000004
-79.0093304,33.6259511
-78.89312819999999,34.0577822
-78.96513329999999,33.7615925
-78.59864110000001,33.8833607
-81.2259285,33.9063167
-78.89978169999999,34.0586991
-81.54031289999999,34.2193111
-81.2497389,32.9658616
-80.05051189999999,33.0081548
-80.8513733,34.9533405
-80.7933698,34.7136526
-79.01269889999999,33.7811603
-81.1884443,34.7063442
-80.7908401,34.7157507
-81.0617584,34.9497017
-81.8972637,33.4940768
-82.37692849999999,34.8240621
-79.3354686,34.1847
-79.25449019999999,34.2057166
-79.6737567,34.6063949
-79.6986134,34.6350314
-81.121229,34.395111
-81.6344179,35.0899513
-81.89525139999999,34.9782882
-82.0093887,34.9136322
-81.8947731,34.978044
-82.29726099999999,33.9133546
-82.29345850000001,33.9134577
-81.6162468,34.7160919
-79.25449019999999,34.2057166
-79.7606386,34.1982782
-79.8181661,33.6608469
-79.83991689999999,34.3134036
-79.44292759999999,33.8120185
-79.92676759999999,34.1395454
-79.759439,34.1970511
-79.3647716,34.4215928
-79.7555306,34.1971604
-79.36394899999999,34.420874
-79.76084,34.583129
-80.209835,33.687164
-79.9207868,34.6948229
-78.6654032,33.8669568
-79.7575676,34.19528409999999
-80.209835,33.687164
-79.4471092,33.7614962
-80.4750837,33.4890577
-81.6292811,34.7122111
-79.7575992,34.1952633
-79.9470247,32.7842593
-79.9497401,32.784768
-82.0017489,35.066382
-81.9869918,35.0492251
-81.9445389,34.9896403
-81.6304024,34.7102207
-81.0035817,34.0151107
-80.8906792,34.1122325
-81.6326065,34.7112766
-80.0153995,33.1961753
-79.9837419,33.2047697
-79.98117049999999,33.1946956
-82.1559877,34.1772397
-80.77101809999999,34.7318826
-80.1070445,34.3505628
-79.7692323,32.8777232
-79.8635279,32.8111973
-79.8227855,32.8321685
-80.0104345,32.8812102
-79.800989,32.854321
-80.1556141,32.9623814
-81.1830693,34.6844439
-80.0407039,32.950441
-79.3239911,34.1881398
-79.9694983,32.7460093
-79.85321909999999,32.7925303
-79.94921719999999,32.7870882
-80.0661361,32.9755044
-80.7876622,34.7174346
-79.25449019999999,34.2057166
-79.76241089999999,33.8804619
-79.7523423,33.8734524
-80.80368759999999,34.1645892
-80.91005969999999,34.5844293
-80.03071469999999,32.7980583
-81.1905091,34.6881665
-80.6723169,34.2332486
-80.0153995,33.1961753
-79.9451173,32.7838807
-78.87610769999999,33.7064702
-81.03052699999999,34.9066794
-80.0097354,32.900466
-81.0401795,34.9504616
-82.2230974,34.9467291
-82.4144353,34.8159572
-82.41509219999999,34.8391234
-82.4731347,34.996583
-81.6092614,34.2971022
-81.1865847,33.473541
-79.9863634,32.8640584
-82.0017172,33.546245
-79.92515159999999,33.405202
-81.2107723,34.7024188
-81.0293366,34.907225
-82.45607720000001,34.9755006
